date node
19790101 3
19790102 9
19790103 9
19790104 9
19790105 9
19790106 9
19790107 9
19790108 9
19790109 7
19790110 1
19790111 1
19790112 1
19790113 2
19790114 5
19790115 3
19790116 9
19790117 9
19790118 9
19790119 6
19790120 8
19790121 8
19790122 8
19790123 7
19790124 7
19790125 4
19790126 4
19790127 4
19790128 2
19790129 8
19790130 8
19790131 7
19790201 7
19790202 7
19790203 4
19790204 4
19790205 4
19790206 4
19790207 4
19790208 2
19790209 6
19790210 9
19790211 7
19790212 7
19790213 1
19790214 1
19790215 1
19790216 1
19790217 1
19790218 2
19790219 6
19790220 6
19790221 6
19790222 6
19790223 8
19790224 7
19790225 4
19790226 4
19790227 2
19790228 2
19790301 2
19790302 2
19790303 4
19790304 7
19790305 4
19790306 8
19790307 8
19790308 9
19790309 8
19790310 8
19790311 4
19790312 2
19790313 2
19790314 2
19790315 2
19790316 6
19790317 9
19790318 8
19790319 8
19790320 8
19790321 9
19790322 6
19790323 6
19790324 9
19790325 8
19790326 8
19790327 8
19790328 6
19790329 6
19790330 6
19790331 9
19790401 9
19790402 7
19790403 7
19790404 5
19790405 9
19790406 7
19790407 7
19790408 1
19790409 1
19790410 2
19790411 3
19790412 3
19790413 2
19790414 5
19790415 5
19790416 5
19790417 5
19790418 9
19790419 9
19790420 9
19790421 5
19790422 1
19790423 1
19790424 2
19790425 5
19790426 3
19790427 2
19790428 2
19790429 2
19790430 5
19790501 5
19790502 2
19790503 2
19790504 6
19790505 6
19790506 5
19790507 4
19790508 7
19790509 4
19790510 1
19790511 1
19790512 1
19790513 2
19790514 2
19790515 6
19790516 6
19790517 6
19790518 5
19790519 8
19790520 9
19790521 5
19790522 5
19790523 5
19790524 4
19790525 4
19790526 7
19790527 4
19790528 4
19790529 4
19790530 8
19790531 8
19790601 7
19790602 7
19790603 7
19790604 4
19790605 4
19790606 2
19790607 2
19790608 6
19790609 6
19790610 6
19790611 9
19790612 9
19790613 7
19790614 8
19790615 8
19790616 7
19790617 4
19790618 4
19790619 2
19790620 8
19790621 8
19790622 8
19790623 8
19790624 8
19790625 7
19790626 7
19790627 4
